,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
60,," Es muß dem Einzelnen durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Gedeihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird und vom Gedeihen des Staates abhängt.",Metaphernkandidat,,,,"Floskel, kein Bruch, keine Spannung",B,,,,,
61,," Selbst wenn wir einmal annehmen, dies sei der Fall, so hat dafür die gesetzliche Regelung auch Nachteile im Gefolge, welche bei dem von uns empfohlenen Wege vermieden werden.",Metapher,im Gefolge,Nachteile,A,"Floskelverdacht, leicht ungewöhnlicher, irritierender Ausdruck, der auf andere Semantik verweist, unterstützt durch den floskelhaften Weg, könnte aber wohl ohne großen Bedeutungsverlust umformuliert werden",B,,,,,
62,," Gesetzliche Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger innerer Beschaffenheit über denselben Kamm zu scheeren.",Metaphernkandidat,,,,Floskel,B,,,,,
63,, Sie [die Anpassung] kann auf geringfügige Änderungen der natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen der Organisation antworten; aber sie versagt bei größeren Änderungen und tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.,Metapher,tritt die Herrschaft ab,die Anpassung,B,"zunächst durch Personifikation pointiert, anschließend durch Bruch und weitere Semantik ausgezeichnet wird diese Stelle metaphorisch, Umformulierung würde ihr diese Pointierung nehmen: es sollen hier Machtkämpfe verbildlicht werden",B,,,,,
64,," In dem Moment, wo sperma und ovum im Uterus der Mutter zu einer Zelle verschmelzen, ist »die Statue gegossen,« sagt Hegar1), »und was noch weiter geschieht, ist nur eine feinere Ausarbeitung und Ziselierung.",Metapher,ist die Statue gegossen,zu einer Zelle verschmelzen,C,"Sonderfall einer direkt übernommenen, nämlich zitierten Metapher, deutlicher Bruch, nicht austauschbar, neuer Bedeutungsgehalt wird eingebracht,",B,,,,,
65,," »Beim Menschen scheint das Kind gar nichts mitzubringen, sondern alles erst zu lernen; in der Tat aber bringt es alles oder doch unendlich viel mehr mit als das fix und fertig aus dem Ei kriechende Tier, aber es bringt alles in unreifem Zustande mit, weil des zu Entwickelnden bei ihm so viel ist, daß es in den 9 Monaten des Embryolebens nur erst im Keime vorgebildet sein kann.",Metaphernkandidat,,,,"keinerlei Bruch, nur merkwürdige Ausdrucksweise",B,,,,,
66,," So geht nun das Reisen der Dispositionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen, tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen, d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand und erzielt dadurch ein weit reicheres und saubereres Endresultat als die bloße Vererbung bei den Tieren vermag« 2).",Metapher,Nachmeißeln,dieser Dispositionen,B,"die frühere Metapher der Statue wird hier geschickt durch eine ergänzende Metapher aufgegriffen, das Meißeln verweist abermals auf die bildenden Künste, die Stelle wird so pointiert und ist nicht auszutauschen",B,,,,,
67,," Kommt der Mensch mit ganz bestimmten Bildungsanlagen und -trieben zur Welt, so muß die Erziehung sich der Schranken bewußt bleiben, welche ihr hierdurch gesetzt sind.",Metapher,"Schranken, welche gesetzt sind",die Erziehung,A,"Floskelverdacht, statt den erwarteten Grenzen werden hier die Schranken zur Abtrennung genutzt und erzeugen so einen leichten Bruch",B,,,,,
68,," Man kann auf diese Weise eine böse Anlage, z. B. die Neigung zur Grausamkeit, nie eigentlich ganz ertöten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin, töten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin, aber sie wird unschädlich, weil sich als Frucht guter Erziehung im Kinde jetzt bei jeder aufsteigenden Neigung zu einer grausamen Handlung durch Gedankenassoziation zugleich abmahnend ein ganzer Komplex von Vorstellungen erhebt, welche jenen Wunsch als schlecht, als verachtenswert, als von bösen Folgen begleitet erscheinen und ihn deshalb nicht zur Tat werden lassen.",Metaphernkandidat,,,,"merkwürdige Ausdrucksweise gepaart mit Floskeln lassen diese Stelle auffällig wirken, einen richtigen Bruch erkenne ich jedoch nicht, eine Umformulierung wäre wohl weitestgehend verlustfrei möglich",B,,,,,
69,," Es ist nicht immer nötig, daß dieser der schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstellungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und Gewöhnung gewissermaßen allein.",Metapher,saugt,diese Vorstellungen,A,"irreguläre Sprachverknüpfung, dadurch Bruch und neue Semantik, nicht ersetzbar",B,,,,,
70,," Solange jene Neigung nicht zur alles verzehrenden Leidenschaft geworden ist und die gleichzeitig geweckten Vorstellungen stark genug sind, werden sie in vielen Fällen die weckten Vorstellungen stark genug sind, werden sie in vielen Fällen die Neigung, falls sie schlecht ist, besiegen und die schlechte Tat unausgeführt lassen.",Metaphernkandidat,,,,"gewöhnliche Sprachausdrücke, evtl. Floskeln",B,,,,,
71,," Die Schulen sind aber für diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch ohne Schule und gegen die Schule bricht.",Metapher,bricht,seinen Weg,A,"Bruch durch brechen, irreguläre Verknüpfung von Weg und brechen, stärkere Betonung als einen Weg gehen, daher nicht austauschbar und verweist auf Probleme etc.",B,,,,,
72,," Wenn man etwa befürchtet, daß dann in den Schulen schon die Kinder mit gewissen den Regierenden genehmen Anschauungen vollgepfropft würden, so ist zu sagen, daß Mißbrauch mit jeder noch so vernünftigen Maßregel getrieben werden kann.",Metapher,vollgepropft,mit Anschauungen,A,"Bruch und Verweisung auf pflanzlichen Bereich, Betonung, nicht ersetzbar",B,,,,,
73,," Was wir meinen, ist nur dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem Teile — zur Förderung der Zwecke des Staates empfänglich und geeignet sind. eignet sind.",Metaphernkandidat,,,,kombinierte Floskeln,B,,,,,
74,," Er muß damit rechnen, daß die einzelnen Volksgenossen bereits mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren genommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges Hindernis entgegenstellen.",Metaphernkandidat,,,,"Floskel, wenn auch durch den Zusatz ""fest"" etwas betont",B,,,,,
75,," Stehen wir durch die Vererbung körperlich in einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassenschaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als einem unverrückbaren Medium.",Metaphernkandidat,,,,"wohl wörtlich gemeint, zudem kein Bruch etc.",B,,,,,
76,," Das intelligenteste Europäerkind wird unter einem Stamm von Wilden nie auch nur entfernt das Wissen und die Erfahrung eines gebildeten Europäers erreichen, weil ihm das Medium fehlt, aus dem es dieses Wissen und diese Erfahrung saugen könnte.",Metapher,saugen,dieses Wissen und diese Erfahrung,A,"Wiederholung der früheren Metapher des ""Saugens"" in bezug auf Abstrakta, dadurch Bruch, nicht austauschbar",B,,,,,
77,," Keine von ihnen ist die Errungenschaft einer einzigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler zigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler Generationen, von denen die eine immer auf den Schultern der früheren steht und von denen jede ihr Scherflein zu dem heutigen Stande beigetragen hat.",Metaphernkandidat,,,,"Floskel, gängiges Bild",B,,,,,
78,," Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen, die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten zurückreichen.",Metaphernkandidat,,,,"kein Bruch, nur auffällige Ausdrucksweise",B,,,,,
79,," Dies ist jedoch ein Mißverständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin durch die Schranken des Herkommens gefesselt ist.«",Metapher,durch die Schranken gefesselt,des Herkommens,B,"Die Herkunft fesselt hier durch Schranken in alle Richtungen, irreguläre Sprachverknüpfung, mithin Bruch, nicht austauschbar, pointierte Stelle",B,,,,,
80,," Aber die Gestalten und Bilder, welche einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten, oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er fröhlich ihrem leisen Zuge.",Metapher,in seine Seele gefallen,die Gestalten und Bilder,A,"leichter Bruch durch irreguläre Verknüpfung und Verweisung auf Räumlichkeit, pointierte Stelle, unterstützt durch bildreiche Sprache",B,,,,,
81,," Die Sollvorschrift bildet dann gewissermaßen die Hülle oder Schale, die sich unverändert erhält, während der Kern grundlegende Veränderungen erfahren verändert erhält, während der Kern grundlegende Veränderungen erfahren hat.",Metaphernkandidat,,,,"""gewissermaßen"" deutet eine Art Vergleich an, daher kein Bruch etc.",B,,,,,
82,," Überall machen sich starke Bestrebungen geltend, die überkommenen Sitten und Gebräuche gegenüber der nagenden Vernunft aufrecht zu erhalten.",Metapher,nagende,Vernunft,B,"Bruch und Anreicherung der Semantik, nicht ersetzbar, sprachlich irregulär verknüpft",B,,,,,
83,," Oft genug ist derjenige, der sich in der Jugend einst knirschend gegen die Macht des Hergebrachten aufbäumte, gar nicht genug über diese Vergewaltigung durch die Schatten der Vergangenheit klagen konnte, mit gereifterer Lebensanschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt anschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt und ihn in ihre Geleise zwang.",Metapher,Vergewaltigung,durch die Schatten der Vergangenheit,B,"Bruch, neue Semantik, irreguläre Verknüpfung, unersetzlich, unterstützt durch bildreiche Sprache und Floskeln",B,,,,,
84,," Wie aber wäre dies möglich, da wir bis zur letzten Zelle unseres körperlich-geistigen Baues geschichtliche Wesen sind?",Metaphernkandidat,,,,"Floskel, kein Bruch oder dergleichen",B,,,,,
85,," Würde die Vergangenheit sich nicht wie ein Schwergewicht an uns hängen und als Ballast unserem sozialen Leben einen ruhigen Gang verleihen, so würde dieses von Extrem zu Extrem schwanken und jedes Staatswesen wäre ein Spielball in der Hand waghalsiger Experimentatoren.",Metaphernkandidat,,,,ein Vergleich und eine Floskel machen die Stelle aber neben ihrem Bildreichtum auffällig (Spielball vielleicht noch eher Metapher als Floskel?),B,,,,,
86,," Die Vorschriften der Sitte (von denen die Vorschriften der Etiquette, des gesellschaftlichen Anstandes als eine Unterabteilung aufzufassen und dadurch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise, durch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise, die sich durch Beruf, Besitz, Stand oder Bildung verwandt fühlen, beschränkt ist) unterliegen einer solchen durchgreifenden Revision durch die Vernunft nicht, da sie sich lediglich durch mündliche Überlieferung fortpflanzen.",Metaphernkandidat,,,,"kein bruch, halbwegs verlustfrei auszutauschen",B,,,,,
87,," Wer plötzlich mit der Forderung aufträte, es dürfe kein Tropfen eines geistigen Ge- lich mit der Forderung aufträte, es dürfe kein Tropfen eines geistigen Getränks mehr getrunken werden, weil der Alkoholgenuß schädlich sei, und die tränks mehr getrunken werden, weil der Alkoholgenuß schädlich sei, und die augenblickliche Durchführung dieser Forderung erstrebte, wäre ein kompleter Narr.",Metaphernkandidat,,,,geistiges Getränk war eine bekannte Ausdrucksweise für Alkohol,B,,,,,
88,," »Wir können den Lauf der Zeit nicht dadurch beschleunigen, daß wir unsere Uhren vorstellen: ein Zukunftsgesetz, durch beschleunigen, daß wir unsere Uhren vorstellen: ein Zukunftsgesetz, und wenn es die genialste Lösung der sozialen Fragen enthielte, es fände kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln könnte«, sagt Endemann1).",Metapher,"kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln könnte",ein Zukunftsgesetz,B,"Bruch, irreguläre Verknüpfung zweier Semantiken, nicht auszutauschen",B,,,,,
89,," Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit neuen sozialen Erscheinungen schwanger geht.",Metapher,"der Geburtshelfer des Gesellschaftslebens, das mit neuen sozialen Ershceinungen schwanger geht",der Gesetzgeber,B,"bewusst als Metapher zitiert, Bruch durch die Anwendung der Schwangerschaft auf Politik, dadurch neue Semantik, pointiert und unersetzlich",B,,,,,
90,," Die Vernunft einzelner Menschen kann vorher nicht genau ermessen, wie jene Änderung, die in das Triebwerk des sozialen Lebens eingreift und bis in die entferntesten Erscheinungen desselben ihren Einfluß geltend macht, wirken wird.",Metapher,Triebwerk,des sozialen Lebens,A,"nah an der Floskel, Bruch, irreguläre Verknüpfung zweier Semantiken, nicht auszutauschen",B,,,,,
91,, Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins dunkle.,Metaphernkandidat,,,,"Vergleich, bzw. Bild, keinerlei Bruch oder dergleichen",B,,,,,
92,," Der beste Gesetzgeber ist deshalb derjenige, der sein Ziel stufenmäßig durch möglichst geringe Abänderungen der jeweilig geltenden recht- mäßig durch möglichst geringe Abänderungen der jeweilig geltenden rechtlichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor lichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor gefährlichen Experimenten bewahrt, immer in der Lage ist, den theoretisch beabsichtigten Erfolg eines Gesetzes in der Praxis nachzuprüfen und andererseits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein seits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein des Volkes Anknüpfungspunkte finden und nicht tote Buchstaben bleiben.",Metaphernkandidat,,,,"vielleicht sogar eine bewusste Anspielung auf Augustinus, der den Geist der Schrift gegenüber den toten Buchstaben hervorhebt, was sich später als übliche Redeweise etablierte und auf andere Bereiche übertragen wurde, also Floskel",B,,,,,
93,," Denn das Leben, sagt Endemann3), muß erst »die Rechtsgedanken verarbeiten, die als Keime in die Paragraphen eingeschlossen sind, damit die beiten, die als Keime in die Paragraphen eingeschlossen sind, damit die Gesetzesbuchstaben lebendig werden.«",Metapher,als Keime,"die Rechtsgedanken, die in die Paragraphen eingeschlossen sind",B,"Bruch, sprachlich irreguläre Verknüpfung zweier Semantiken, nicht austauschbar, unterstützt durch das Bild der lebendigen Buchstaben, was das vorige Bild aufnimmt",B,,,,,
94,, Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe,Metapher,unbewaffnete,Auge,A,"leichter Bruch, Anreicherung der Semantik, irreguläre Verknüpfung",B,,,,,
